Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения
Термокомплекты для малышей;20;79.0;0.06
Термоджемперы для малышей;20;96.0;0.17
Термободи для малышей;20;79.0;0.06
Белье для малышей;15;79.0;0.06
Трусы для малышей;20;79.0;0.06
Термокомбинезоны для малышей;20;79.0;0.06
Плавки для малышей;20;79.0;0.06
Браслеты;20;96.0;0.11
Шнурки для кулонов;20;96.0;0.17
Чокеры;20;79.0;0.06
Брелоки;20;96.0;0.11
Запонки;20;79.0;0.06
Подвески бижутерные;20;96.0;0.11
Зажимы для галстука;20;79.0;0.06
Бутоньерки;20;79.0;0.06
Булавки для воротника;20;96.0;0.11
Пирсинг;20;96.0;0.11
Значки;20;96.0;0.11
Цепочки на тело;20;96.0;0.11
Аксессуары для бижутерии;20;79.0;0.09
Броши;20;79.0;0.06
Цепочки;20;79.0;0.06
Бусы;20;96.0;0.11
Кольца;20;79.0;0.06
Колье;20;96.0;0.11
Зажимы для платков;20;96.0;0.17
Четки;20;79.0;0.06
Кнопки бижутерные;20;96.0;0.17
Серьги;20;79.0;0.06
Бижутерия;15;79.0;0.06
Вставки искусственные;20;96.0;0.11
Шармы-подвески;20;79.0;0.06
Термостаты комнатные;17;473.0;0.47
Устройства антихрап;17;79.0;0.06
Ирригаторы;17;96.0;0.11
Очистители воздуха;17;592.0;0.7
Подогреватели пищи электрические;17;473.0;0.47
Гладильные прессы;17;1260.0;1.12
Устройства AirFloss;17;96.0;0.11
Весы;17;96.0;0.11
Коверлоки;17;592.0;0.7
Аксессуары для электрогрилей;17;96.0;0.11
Электрощетки;17;114.0;0.17
Озонаторы;17;473.0;0.47
Котлы отопления;17;592.0;0.7
Дозаторы шприцевые;17;592.0;0.7
Негатоскопы;17;592.0;0.7
Дерматоскопы;17;114.0;0.17
Шкафы для подогревания посуды;17;592.0;0.7
Ионизаторы воды;17;96.0;0.11
Колеса для робот-пылесосов;17;592.0;1.05
Аппараты для фототерапии;17;96.0;0.11
Биде электронные;17;592.0;0.7
Фильтры для тепловентиляторов;17;592.0;1.05
Шланги для пылесосов;17;114.0;0.17
Щипцы для укладки;17;96.0;0.11
Тепловые завесы;17;473.0;0.47
Пылесосы;17;592.0;0.7
Коврики с подогревом;17;775.0;1.12
Аксессуары для увлажнителей и очистителей;17;96.0;0.11
Сорбетницы;17;592.0;0.7
Конвекторы;17;775.0;1.12
Картриджи для отпаривателей;17;592.0;0.7
Фотоэпиляторы;17;96.0;0.11
Косметические аппараты;17;96.0;0.11
Ароматизаторы воздуха электрические;17;96.0;0.11
Сетки для бритв;17;96.0;0.11
Сменные ручки для ирригаторов;17;592.0;0.7
Электрические одеяла;17;1444.0;1.12
Роботы-стеклоочистители;17;473.0;0.47
Сыроварни;17;473.0;0.47
Аппараты для надевания бахил;17;592.0;0.7
Дверные замки электронные;17;114.0;0.17
Простыни электрические;17;592.0;0.7
Приточные установки;17;775.0;1.12
Утюги;17;210.0;0.47
Мойки воздуха;17;775.0;1.12
Электрические грелки;17;96.0;0.11
Боксы для часов;17;114.0;0.17
Оборудование для тату;17;114.0;0.17
Спейсеры;17;96.0;0.11
Моторы для пылесосов;17;114.0;0.17
Мини-кондиционеры воздуха;17;592.0;0.7
Аппараты магнитотерапии;17;96.0;0.11
Увлажнители;17;210.0;0.47
Манжеты для тонометров;17;79.0;0.06
Сауны инфракрасные;17;473.0;0.47
Сервомоторы для швейных машин;17;592.0;0.7
Гладильные системы;17;1260.0;1.12
Педали для швейных машин;17;592.0;0.7
Клепальные прессы;17;473.0;0.47
Аксессуары для косметических аппаратов;17;96.0;0.11
Помпы для воды;17;79.0;0.06
Аксессуары для паровых станций;17;592.0;0.7
Ремни для швейных машин;17;592.0;0.7
Весы электронные;17;114.0;0.17
Лампы для светополимеризации;17;210.0;0.47
Кронштейны для кондиционера;17;592.0;0.7
Паровые швабры;17;592.0;0.7
Воскоплавы;17;114.0;0.17
Отбеливатели зубов;17;79.0;0.06
Лезвия для бритв;17;79.0;0.06
ТЭНы для стиральных машин;17;592.0;0.7
Мини-холодильники для косметики;17;473.0;0.47
Машинки против катышек;17;96.0;0.11
Термометры электронные;17;96.0;0.11
Аэрографы косметические;17;592.0;0.7
Парогенераторы;17;775.0;1.12
Аноды для водонагревателей;17;592.0;0.7
Термошапки для волос;17;96.0;0.11
Приборы для очищения кожи;17;96.0;0.11
Стерилизаторы зубных щеток;17;96.0;0.11
Водонагреватели;17;592.0;0.7
Рефлектор медицинский;17;79.0;0.06
Стерилизаторы косметологические;17;473.0;0.47
Мультистайлеры;17;96.0;0.11
Ножевые блоки;17;79.0;0.06
Концентраторы кислорода;17;775.0;1.12
Пакеты для вакууматора;17;96.0;0.11
Сушки для обуви;17;96.0;0.11
Насадки для электрических зубных щеток;17;96.0;0.11
Термометры кухонные;17;592.0;0.7
Лампы для сушки ногтей;17;96.0;0.11
Тонометры;17;96.0;0.11
Аппараты для маникюра и педикюра;17;96.0;0.11
Дезинфицирующие аппараты;17;96.0;0.11
Насосы инфузионные;17;592.0;0.7
Помпы для стиральных машин;17;79.0;0.06
Печи для бани;17;592.0;0.7
Термопрессы для сублимации;17;592.0;0.7
Ионизаторы воздуха;17;114.0;0.17
Индикаторы уровня жидкости;17;592.0;0.7
Сушилки для одежды электрические;17;1103.0;1.12
Оверлоки;17;775.0;1.12
Фильтры для пылесосов;17;96.0;0.11
Картриджи для бритв;17;114.0;0.17
Осушители воздуха;17;775.0;1.12
Выпрямители волос;17;96.0;0.11
Электробигуди;17;96.0;0.11
Подогреватели посуды;17;592.0;0.7
Щетки для робот-пылесосов;17;79.0;0.06
Насадки для фенов;17;96.0;0.11
Лампы для бытовой техники;17;210.0;0.47
Глюкометры;17;96.0;0.11
Распошивальные машины;17;473.0;0.47
Ингаляторы;17;96.0;0.11
Центрифуги лабораторные;17;592.0;0.7
Запчасти для кондиционеров;17;592.0;0.7
Насадки для ирригатора;17;79.0;0.06
Сауны для лица;17;473.0;0.47
Пульсоксиметры;17;96.0;0.11
Вязальные машины;17;592.0;0.7
Электрические зубные щетки;17;96.0;0.11
Триммеры проводные;17;592.0;0.7
Запчасти для стиральных машин;17;114.0;0.17
СИПАП-аппараты;17;592.0;0.7
Машинки для стрижки волос;17;96.0;0.11
Вышивальные машины;17;592.0;0.7
Оборудование для розлива;17;592.0;0.7
Запчасти для пылесосов;17;210.0;0.47
Стеклоочистители электрические;17;1444.0;1.12
Массажеры электрические;17;473.0;0.47
Мухобойки электрические;17;96.0;0.11
Расчески лазерные;17;473.0;0.47
Пуговичные машины;17;114.0;0.17
Триммеры;17;96.0;0.11
Бытовая техника;12;394.0;0.7
Аппараты для физиотерапии;17;592.0;0.7
Насадки для машинок;17;96.0;0.11
Наборы для укладки волос;17;592.0;0.7
Эпиляторы;17;96.0;0.11
Дарсонваль;17;473.0;0.47
Аксессуары для котлов отопления;17;592.0;0.7
Мини-пылесосы;17;96.0;0.11
Машинки для полировки волос;17;79.0;0.06
Швейные машины;17;592.0;0.7
Вешалки для отпаривателей;17;592.0;0.7
Пароочистители;17;592.0;0.7
Фены;17;96.0;0.11
Миксеры для косметики;17;79.0;0.06
Корректоры артериального давления;17;592.0;0.7
Роботы-пылесосы;17;473.0;0.47
Тепловентиляторы;17;473.0;0.47
Приборы для завивки ресниц;17;96.0;0.11
Ножки для конвекторов;17;114.0;0.17
Нагнетатели для тонометров;17;114.0;0.17
Полки в холодильник;17;96.0;0.11
Матрасы электрические;17;775.0;1.12
Другие аксессуары для техники;17;592.0;0.7
Сушилки для рук;17;592.0;0.7
Аксессуары для электробритв;17;114.0;0.17
ИВЛ-аппараты;17;592.0;0.7
Бритвы электрические;17;96.0;0.11
Маслопрессы;17;592.0;0.7
Принтеры для ногтей;17;79.0;0.06
Обогреватели;17;592.0;0.7
Стиральные машины ультразвуковые;17;473.0;0.47
Вентиляторы;17;473.0;0.47
Отпариватели;17;592.0;0.7
Пылесосы маникюрные;17;96.0;0.11
Фрезы для маникюра;17;79.0;0.06
